district,librarian_fte,year,librarians_per_school,students_per_librarian,teachers_per_librarian,teacher_fte
College Place School District (WA),1.3,2019-20,0.33,1252.0,70.0,91.46
College Place School District (WA),0.3,2020-21,0.08,5367.0,309.0,92.72
College Place School District (WA),0.3,2021-22,0.08,5233.0,308.0,92.51
College Place School District (WA),0.3,2022-23,0.08,5180.0,330.0,99.0
College Place School District (WA),0.3,2023-24,0.08,5123.0,330.0,99.03
College Place School District (WA),0.3,2024-25,0.08,5103.0,327.0,98.22
Colton School District (WA),0.0,2015-16,0.0,,,13.5
Colton School District (WA),0.0,2016-17,0.0,,,14.62
Colton School District (WA),0.0,2017-18,0.0,,,14.68
Colton School District (WA),0.0,2018-19,0.0,,,14.77
Colton School District (WA),0.0,2019-20,0.0,,,15.4
Colton School District (WA),0.0,2020-21,0.0,,,15.4
Colton School District (WA),0.0,2021-22,0.0,,,17.25
Colton School District (WA),0.0,2022-23,0.0,,,16.0
Colton School District (WA),0.0,2023-24,,,,15.26
Colton School District (WA),0.0,2024-25,,,,15.21
Columbia (Stevens) School District (WA),0.0,2015-16,0.0,,,13.45
Columbia (Stevens) School District (WA),0.0,2016-17,0.0,,,14.83
Columbia (Stevens) School District (WA),0.0,2017-18,0.0,,,14.77
Columbia (Stevens) School District (WA),0.0,2018-19,0.0,,,13.06
Columbia (Stevens) School District (WA),0.0,2019-20,0.0,,,13.77
Columbia (Stevens) School District (WA),0.0,2020-21,0.0,,,12.51
Columbia (Stevens) School District (WA),0.0,2021-22,0.0,,,12.35
